#DESKTOPSTATION,VERSION094,WRITTEN-BY-YAASAN,
"TxtNew","Nouveau",
"TxtLoad","Charge",
"TxtSave","Conserver",
"TxtEditOption","Modifier les propriétés",
"TxtItemUp","En haut",
"TxtItemDown","En bas",
"TxtRun","Courir",
"TxtStop","Arrêtez",
"TxtImport","Importer",
"TxtExport","Exporter",
"TxtTeach","Mode d'apprentissage",
"TxtOption","Propriétés",
"TxtMainTitle","Station de bureau",
"TxtMainWelcome","Bienvenue à bord!",
"TxtMainCabFwd","FWD",
"TxtMainCabRev","TOUR",
"TxtMainCabEditFunc","Modifier les propriétés de fonction",
"TxtMainCabEditLever","Modifier les propriétés de levier",
"TxtStart","Démarrer",
"TxtClear","Clair",
"TxtCopy","exemplaire",
"TxtUpdate","Mettre à jour",
"TxtLocAddr","Adresse Loc",
"TxtLocProtcol","Loc Protcol",
"TxtCfgLocEdit","Modifier les propriétés de locomotive",
"TxtCfgLocNew","Nouvelles propriétés de locomotive",
"TxtCfgLocAddr2nd","2ème adresse Loc",
"TxtCfgLocProtcol2nd","2e Protocole Loc",
"TxtCfgLocName","Nom Loc",
"TxtCfgArtNo","Art Pas",
"TxtCfgManufacture","Fabricant",
"TxtCfgMfxUID","Mfx UID",
"TxtCfgDblHead","Configurer les propriétés double rubrique",
"TxtCfgSpdAdj","Réglage de la vitesse",
"TxtCfgSpdAccRatio","Rapport d'accélération",
"TxtCfgSpdDecRatio","rapport de décélération",
"TxtCfgSpdMaxValue","Vitesse maximum (0-1023)",
"TxtCfgMeterMax","Compteur de vitesse config",
"TxtCfgSpdMeter","Vitesse max (km / h)",
"TxtCfgLocImage","L'image Locomotive",
"TxtCfgLocImageMax","Taille maximale devrait être 160x48 pixels",
"TxtS88EventScript","Script de l'événement",
"TxtS88EventName","Nom de l'événement",
"TxtS88StartTrig","Start Trigger",
"TxtS88SensorAddr","Adresse du capteur",
"TxtS88Available","Disponible cet événement",
"TxtS88ClearEvent","Effacer cet événement",
"TxtS88EventEditor","Event Editor",
"TxtS88SensorInfo","Capteurs Infos",
"TxtS88ScriptInfo","Script Infos",
"TxtS88FlagView","Vue Drapeau",
"TxtS88RunCheck","Cochez la case Exécuter",
"TxtS88ProcessLog","S88 journal des processus",
"TxtMsgReceived","Reçu",
"TxtMsgError","Erreur",
"TxtMsgReset","Réinitialiser",
"TxtMsgPortOpened","a été ouvert.",
"TxtMsgPortClosed","a été fermé.",
"TxtMsgPortNotFound","Impossible de localiser le port série. ",
"TxtMsgPortNotAvailable","n'est pas disponible.",
"TxtMsgPortWait","S'il vous plaît attendre jusqu'à ce que le port série a été ouvert.",
"TxtMsgPortUnknownError","erreur inconnue.",
"TxtMsgScriptTeaching","Apprentissage...",
"TxtMsgScriptFinish","Fini",
"TxtMsgBoxAttention","Attention",
"TxtMsgBoxDeleteEvent","Voulez-vous supprimer cet événement?",
"TxtMsgBoxDeleteLoc","Voulez-vous supprimer les données de loc actuelle?",
"TxtMsgBoxCantDeleteEvent","Impossible de supprimer loc choisi. Vous devez avoir au moins 1 entrée dans la base de données",
"TxtMsgBoxClearLayout","Souhaitez-vous effacer configuration actuelle?",
"TxtMsgBoxTeachingMode","Souhaitez-vous lancer le mode d'apprentissage?",
"TxtClkCfgOption","Propriétés de l'horloge",
"TxtClkCfgUse","Utilisez le temps spécifié par l'utilisateur",
"TxtClkCfgSpecifiedTime","Le temps de l'utilisateur spécifié",
"TxtClkCfgHours","Des heures",
"TxtClkCfgMinutes","Minutes",
"TxtClkCfgSeconds","Secondes",
"TxtBtnCfgOption","Modifier la fonction de bouton",
"TxtBtnCfgMomentaryMode","Mode momentanée",
"TxtBtnCfgFncImage","Fonction image",
"TxtLeverCfgOption","Propriétés Throttle",
"TxtLeverCfgControlMode","Mode de contrôle",
