#DESKTOPSTATION,VERSION089,WRITTEN-BY-YAASAN,
TxtNew,"Νέο",
TxtLoad,"Άνοιξε",
TxtSave,"Αποθήκευση",
TxtEditOption,"Επεξεργασία",
TxtItemUp,"Πάνω",
TxtItemDown,"Κάτω",
TxtRun,"Σε Λειτουργία",
TxtStop,"Στοπ",
TxtImport,"Εισαγωγή",
TxtExport,"Εξαγωγή",
TxtTeach,"Λειτουργία Εκμάθησης",
TxtOption,"Επιλογές",
TxtMainTitle,"Desktop Station",
TxtMainWelcome,"Καλώς Ήρθατε!",
TxtMainCabFwd,"Εμπρός",
TxtMainCabRev,"Πίσω",
TxtMainCabEditFunc,"Επεξεργασία επιλογών",
TxtMainCabEditLever,"Επεξεργασία Επιλογών μοχλού",
TxtStart," ! 'Εναρξη",
TxtClear,"Καθαρισμός",
TxtCopy,"Αντιγραφή",
TxtUpdate,"Αναβάθμιση",
TxtLocAddr,"Διεύθυνση (1 - 255)",
TxtLocProtcol,"Σύστημα",
TxtCfgLocEdit,"Επεξεργασία",
TxtCfgLocNew,"Νέα μηχανή",
TxtCfgLocAddr2nd,"Διεύθυνση (0 - 255)",
TxtCfgLocProtcol2nd,"Σύστημα",
TxtCfgLocName,"Όνομα",
TxtCfgArtNo,"Αριθμός",
TxtCfgManufacture,"Κατασκευαστής",
TxtCfgMfxUID,"Mfx UID",
TxtCfgDblHead,"Ρυθμίσεις αμφίδρομης πορείας",
TxtCfgSpdAdj,"Επιλογές Ταχύτητας",
TxtCfgSpdAccRatio,"Ρυθμός Επιτάχυνσης",
TxtCfgSpdDecRatio,"Ρυθμός Επιβράδυνσης",
TxtCfgSpdMaxValue,"Μέγιστη Ταχύτητα (0-1023)",
TxtCfgMeterMax,"Ταχύμετρο",
TxtCfgSpdMeter,"Μέγιστη Ταχύτητα (km/h)",
TxtCfgLocImage,"Φωτογραφία Μηχανής",
TxtCfgLocImageMax,"Μέγιστο Μέγεθος 160x48 pixels",
TxtS88EventScript,"Πλάνο λειτουργίας",
TxtS88EventName,"Όνομα λειτουργίας",
TxtS88StartTrig,"Έναρξη",
TxtS88SensorAddr,"Διεύθ. Αισθητήρα",
TxtS88Available,"Διαθεσιμότητα",
TxtS88ClearEvent,"Εκκαθάριση λειτουργίας",
TxtS88EventEditor,"Επεξεργασία λειτουργιών",
TxtS88SensorInfo,"Πληροφορίες αισθητήρα",
TxtS88ScriptInfo,"Πληροφορίες λειτουργίας",
TxtS88FlagView,"Εικόνα σημαίας",
TxtS88RunCheck,"Έλεγχος",
TxtS88ProcessLog,"Ημερολόγιο S88",
TxtMsgReceived,"Ελήφθη",
TxtMsgError,"Λάθος",
TxtMsgReset,"Επαναφορά",
TxtMsgPortOpened," Ανοιχτή.",
TxtMsgPortClosed," Κλειστή.",
TxtMsgPortNotFound,"Δεν βρίσκω θύρα.",
