#DESKTOPSTATION,VERSION089,WRITTEN-BY-YAASAN
TxtNew,Nytt,
TxtLoad,Öppna,
TxtSave,Spara,
TxtEditOption,Inställningar,
TxtItemUp,Upp,
TxtItemDown,Ned,
TxtRun,Kör,
TxtStop,Stop,
TxtImport,Importera,
TxtExport,Exportera,
TxtTeach,Inlärningsläge,
TxtOption,Alternativ,
TxtMainTitle,Desktop Station,
TxtMainWelcome,Välkommen Ombord!,
TxtMainCabFwd,Framåt,
TxtMainCabRev,Bakåt,
TxtMainCabEditFunc,Funktionsalternativ,
TxtMainCabEditLever,Spakalternativ,
TxtStart,Börja,
TxtClear,Rensa,
TxtCopy,Kopiera,
TxtUpdate,Uppdatera,
TxtLocAddr,Lokadress (1-255 ),
TxtLocProtcol,Protokoll
TxtCfgLocEdit,Lok egenskaper,
TxtCfgLocNew,Lägg till nytt lok,
TxtCfgLocAddr2nd,2nd Lokadress ( 0-255 ),
TxtCfgLocProtcol2nd,2. Lokprotkoll,
TxtCfgLocName,Loknamn,
TxtCfgArtNo,Art nr,
TxtCfgManufacture,Tillverkare,
TxtCfgMfxUID,MFX UID,
TxtCfgDblHead,Konfigurera dubbeltraktion,
TxtCfgSpdAdj,Fartalternativ,
TxtCfgSpdAccRatio,Accelerationsratio,
TxtCfgSpdDecRatio,Fartminskningsratio,
TxtCfgSpdMaxValue,Max hastighet ( 0-1023 ),
TxtCfgMeterMax,Konfigurera hastighetsmätare,
TxtCfgSpdMeter,Max hastighet ( km / t ),
TxtCfgLocImage,lokbild,
TxtCfgLocImageMax, Storleken måste vara 160x48pixlar,
TxtS88EventScript,Eventscript,
TxtS88EventName,Eventnamn,
TxtS88StartTrig,Starta utlösare,
TxtS88SensorAddr,Sensoradress,
TxtS88Available,Tillgängligt detta event,
TxtS88ClearEvent,Avmarkera detta event,
TxtS88EventEditor,Eventredigerare,
TxtS88SensorInfo,Sensor Info,
TxtS88ScriptInfo,Script Info,
TxtS88FlagView,Flagg vy,
TxtS88RunCheck,Testkörning,
TxtS88ProcessLog,S88 processlogg,
TxtMsgReceived,mottaget,
TxtMsgError,fel,
TxtMsgReset,återställning,
TxtMsgPortOpened,har öppnats.,
TxtMsgPortClosed,har stängts.,
TxtMsgPortNotFound,Hittade ej serieporten.,
TxtMsgPortNotAvailable,Porten är inte tillgänglig.,
TxtMsgPortWait,Serieporten öppnas.,
